basis_num,shape_0.2,shape_0.4,shape_0.6000000000000001,shape_0.8,shape_1.0,shape_1.2,shape_1.4000000000000001,shape_1.6,shape_1.8,shape_2.0,shape_2.2,shape_2.4000000000000004,shape_2.6000000000000005,shape_2.8000000000000003,shape_3.0000000000000004,shape_3.2,shape_3.4000000000000004,shape_3.6000000000000005,shape_3.8000000000000003,shape_4.0,shape_4.2,shape_4.4,shape_4.6000000000000005,shape_4.800000000000001
100,4.6356161522997305e-06,7.938162098858679e-10,1.1931258423288096e-11,4.081129187428214e-11,7.008413589390151e-11,5.491936045711049e-10,2.764461272727022e-09,4.7109331885104424e-09,1.417059960454426e-08,3.054530457522335e-08,1.0789816143932743e-07,2.599378914219238e-07,5.914000869242847e-07,1.1702631415214293e-06,1.6823726684199182e-06,4.832226160318411e-06,6.237760738358002e-06,5.876642176106065e-06,1.1561142919617693e-05,1.3230761982053047e-05,2.718203506618358e-05,3.155520563432364e-05,7.169835183520453e-05,7.93390376986319e-05
500,4.413155412577709e-06,4.965122436910828e-11,5.574344833977079e-14,1.7890793695431734e-16,2.3029994630825607e-17,5.30813079428273e-18,1.24669428159215e-18,5.810954457519304e-19,4.257401929416521e-19,4.2284577665228013e-19,2.036488898178677e-18,1.3418722599491236e-17,1.5141132711770157e-16,9.526911957583327e-16,5.8382009922717095e-15,4.242950498182509e-14,1.4815265107133005e-13,5.810307732568144e-13,1.7977824101512936e-12,5.923135889667283e-12,1.5747617826724285e-11,3.219812351818603e-11,8.872555791061727e-11,1.0130220832137777e-10
1000,4.3877300083483295e-06,4.076570036072417e-11,2.4209171575876582e-14,9.934197035815179e-17,1.3927418968183736e-17,2.9562341886904757e-18,7.150770310973102e-19,1.8057273287484904e-19,4.093321296288934e-20,1.0099409360128658e-20,3.144543574906871e-21,2.0212031891569723e-21,2.0008745962575448e-21,5.84976097829904e-21,3.895929931677933e-20,7.464160665420499e-20,1.2853704296005483e-18,5.3607766830161644e-18,3.0866823803651036e-17,1.187252697670531e-16,5.412471780163479e-16,1.3962447809519598e-15,5.3938705001869065e-15,2.0914070222233248e-14
