basis_num,shape_0.2,shape_0.4,shape_0.6000000000000001,shape_0.8,shape_1.0,shape_1.2,shape_1.4000000000000001,shape_1.6,shape_1.8,shape_2.0,shape_2.2,shape_2.4000000000000004,shape_2.6000000000000005,shape_2.8000000000000003,shape_3.0000000000000004,shape_3.2,shape_3.4000000000000004,shape_3.6000000000000005,shape_3.8000000000000003,shape_4.0,shape_4.2,shape_4.4,shape_4.6000000000000005,shape_4.800000000000001
100,0.006354797671395936,0.00035739326713162196,2.7001378799329707e-05,1.9796829048447855e-05,1.7223558609017645e-05,1.3090282624175314e-05,2.0453130777927383e-05,2.7500519689991952e-05,1.697630056911253e-05,4.397111506425381e-05,3.436375010548699e-05,6.39583715957911e-05,6.652139668509143e-05,0.00012184766749814839,0.0001744009672445481,0.00020910274033626602,0.0001800508197612317,0.00035191420119553326,0.0004888622935030429,0.0005667679012287475,0.0007415991464526787,0.0006202511200955184,0.0010193467855288936,0.0009120799302462344
500,0.0059059677374137046,0.0001346622116378036,4.5289160058489966e-07,2.6895632482497906e-11,7.134271581303032e-14,1.6322464299712546e-15,2.2665879846759937e-16,4.851449869188897e-17,9.771034069420832e-17,2.894361574803551e-16,9.243612704045441e-16,9.504292100837374e-15,3.772921299038594e-14,2.2721896588104057e-13,1.1162519774112559e-12,7.068561418323716e-12,1.3580113024364988e-11,2.814571654879641e-11,6.100737570690005e-11,1.4309003609837001e-10,4.2391174730523145e-10,1.3443485922333388e-09,1.4689419455333247e-09,3.500485067674161e-09
1000,0.005880219739998712,0.00011894791822269612,2.877004887838432e-07,1.442616734820342e-11,2.941003742090394e-14,6.358517850946444e-16,5.252523952667733e-17,5.18760093344957e-18,6.888659642393985e-19,1.5771630737539436e-19,1.2436379519061043e-19,1.3500930136533404e-19,2.7970425935036926e-19,1.4594078937024017e-18,3.831724493453193e-18,1.793101878401747e-17,6.672777316625514e-17,3.3456716992664663e-16,1.0269075539011584e-15,3.4948708439900886e-15,1.0518989202749345e-14,3.9607731732545545e-14,9.039192820496698e-14,2.8196703340914775e-13
