basis_num,mse_dnn_default,mse_pde_basis
1000,0.10641494754750318,0.47738619046357605
2000,0.0007673396691002183,2.62462919047345e-05
3000,0.00011198465627149101,1.684356492841297e-06
4000,3.452243033855618e-05,4.3435978261447227e-08
5000,1.526957557638153e-05,1.4952122736918368e-09
