basis_num,mse_final,mse_adam
1000,0.00011310925037832931,0.06205791234970093
2000,0.00010098565689986572,0.11999034136533737
3000,0.0002456464571878314,0.15324188768863678
4000,0.0004000216140411794,0.19704270362854004
5000,0.0008003879338502884,0.2300889939069748
