basis_num,mse_final,mse_adam
100,4.938316351399408e-07,0.020226221531629562
250,4.448550896540837e-07,0.0017240775050595403
500,5.68476309581456e-07,0.000503367802593857
750,7.637342491761956e-07,0.00026840786449611187
1000,8.060553113864444e-07,0.00015685276594012976
