basis_num,shape_0.2,shape_0.4,shape_0.6000000000000001,shape_0.8,shape_1.0,shape_1.2,shape_1.4000000000000001,shape_1.6,shape_1.8,shape_2.0,shape_2.2,shape_2.4000000000000004
5000,1.2663566336663842e-05,1.709706298825722e-09,8.870966838551587e-14,6.410701694917056e-16,3.469863832841987e-17,4.367377516114621e-18,1.639692973034153e-18,2.0068405552975477e-18,8.426592818512602e-18,4.548928473051462e-17,2.1658297189187873e-16,1.3597773302789689e-15
1000,1.692361642610613e-05,2.82154381440984e-09,3.6471147430829294e-13,3.6664188278726566e-14,2.3526727623498814e-13,1.9239376277710613e-12,1.3755477037918912e-11,6.340419075252333e-11,2.661714506110416e-10,1.071675596915824e-09,3.3023225718185135e-09,7.261524404359478e-09
500,2.123793849717784e-05,1.0866168012184903e-08,1.67597895832763e-10,3.658363551220615e-10,1.5200117147244983e-09,5.1829036481084835e-09,1.587978925956724e-08,4.292269468294798e-08,1.0530985442641018e-07,2.2149896099896512e-07,5.523684859181872e-07,1.1956051093301993e-06
