basis_num,mse_final,mse_adam
1000,0.00038437757757492363,0.0044841645285487175
2000,0.0005923056742176414,0.007270713336765766
3000,0.0007481233333237469,0.008443709462881088
4000,0.009282859973609447,0.009347611106932163
5000,0.010349409654736519,0.010395698249340057
