basis_num,mse_dnn_default,mse_pde_basis
1000,0.00010387120411118888,3.532709970065183e-05
2000,3.318556781606665e-05,1.0145279396785145e-06
3000,2.9223937102465583e-05,2.030686347288772e-08
4000,2.5070304944051234e-05,2.1349749476514432e-09
5000,2.2457204933356365e-05,5.300730267970711e-10
